,title,week,sum
2021.02.26,大乱闘スマッシュブラザーズ SPECIAL,9326.0,4165316
2021.03.05,大乱闘スマッシュブラザーズ SPECIAL,9957.0,4175273
2021.03.12,大乱闘スマッシュブラザーズ SPECIAL,12052.0,4187325
2021.03.19,大乱闘スマッシュブラザーズ SPECIAL,10947.0,4198272
2021.03.26,大乱闘スマッシュブラザーズ SPECIAL,10397.0,4208669
2021.04.02,大乱闘スマッシュブラザーズ SPECIAL,10270.0,4218939
2021.04.09,大乱闘スマッシュブラザーズ SPECIAL,9270.0,4228209
2021.04.16,大乱闘スマッシュブラザーズ SPECIAL,7835.0,4236044
2021.04.23,大乱闘スマッシュブラザーズ SPECIAL,6682.0,4242726
2021.04.30,大乱闘スマッシュブラザーズ SPECIAL,6770.0,4249496
2021.05.07,大乱闘スマッシュブラザーズ SPECIAL,10840.0,4260336
2021.05.14,大乱闘スマッシュブラザーズ SPECIAL,11260.0,4271596.0
2021.05.21,大乱闘スマッシュブラザーズ SPECIAL,6997.0,4278593.0
2021.05.28,大乱闘スマッシュブラザーズ SPECIAL,6679.0,4285272
2021.06.04,大乱闘スマッシュブラザーズ SPECIAL,6643.0,4291915
2021.06.18,大乱闘スマッシュブラザーズ SPECIAL,6577.0,4305842
2021.06.25,大乱闘スマッシュブラザーズ SPECIAL,6656.0,4312498
2021.07.02,大乱闘スマッシュブラザーズ SPECIAL,6062.0,4318560
2021.07.09,大乱闘スマッシュブラザーズ SPECIAL,7582.0,4326142
2021.07.16,大乱闘スマッシュブラザーズ SPECIAL,7434.0,4333576
2021.07.23,大乱闘スマッシュブラザーズ SPECIAL,7022.0,4340598
2021.07.30,大乱闘スマッシュブラザーズ SPECIAL,9472.0,4350070
2021.08.06,大乱闘スマッシュブラザーズ SPECIAL,8525.0,4358595
